"word","n"
"food",35974
"chicken",15865
"service",10234
"noodle",8994
"rice",8753
"soup",8508
"sauce",8131
"roll",7607
"sushi",6425
"pork",5927
"price",5914
"spicy",5828
"lunch",5492
"beef",5357
"egg",4941
"meal",4890
"dumpling",4734
"shrimp",4694
"dinner",3616
"staff",3464
"experience",3440
"tea",3279
"meat",3217
"buffet",3209
"friend",3186
"delivery",3101
"review",3039
"tofu",2997
"vegetable",2993
"wait",2687
"thai",2652
"night",2525
"drink",2431
"wonton",2308
"server",2266
"crab",2261
"veggie",2249
"family",2104
"owner",2091
"fish",2088
"mein",2033
"plate",2019
"entree",1931
"waitress",1877
"pepper",1871
"lo",1852
"takeout",1845
"quick",1839
"sum",1821
"appetizer",1816
"broth",1806
"bar",1792
"broccoli",1753
"location",1670
"style",1666
"crispy",1659
"atmosphere",1658
"bowl",1651
"water",1586
"served",1580
"sesame",1565
"american",1532
"spot",1523
"dining",1498
"rangoon",1479
"pad",1454
"raman",1448
"town",1428
"bean",1403
"cleveland",1402
"bun",1398
"busy",1358
"garlic",1340
"spice",1323
"flavorful",1305
"steamed",1243
"salad",1210
"orange",1198
"dry",1183
"serve",1179
"waiter",1138
"curry",1136
"salty",1122
"bubble",1119
"duck",1076
"cuisine",1065
"pho",1059
"tso",1057
"vegetarian",1057
"szechuan",1046
"quickly",1041
"decor",1027
"tip",1026
"oil",1018
"ingredient",995
"phone",990
"craving",967
"mushroom",925
"chef",922
"onion",920
"seafood",918
"hotpot",906
"sichuan",903
"soy",902
"chili",887
"waiting",880
"manager",855
"pot",854
"dessert",848
"americanized",835
"deal",833
"parking",832
"stir",819
"priced",814
"kid",812
"stuff",811
"taiwanese",805
"kung",802
"salt",792
"wok",780
"japanese",775
"deliver",759
"counter",756
"belly",755
"eggplant",751
"hibachi",743
"ginger",740
"party",736
"serving",733
"rib",729
"hit",727
"guess",727
"leave",723
"hunan",717
"tuna",713
"cream",712
"line",708
"pao",701
"chow",697
"sat",695
"based",691
"light",688
"fry",683
"bill",666
"delivered",657
"cheese",652
"literally",633
"stick",623
"heat",619
"lamb",614
"scallion",612
"packed",607
"express",604
"vietnamese",603
"peanut",599
"combo",597
"online",594
"box",590
"dan",589
"steak",588
"cut",587
"dine",585
"bbq",584
"trip",582
"drop",579
"pancake",575
"cup",575
"card",571
"share",570
"hill",564
"chewy",564
"mall",558
"tasting",558
"bao",552
"evening",552
"ambiance",552
"giving",552
"entire",549
"cost",543
"mongolian",533
"employee",530
"charge",530
"salmon",527
"gourmet",523
"cooking",519
"space",517
"glass",514
"yum",514
"garden",511
"lettuce",510
"milk",510
